ID,Name,Release Date,Genres,Platforms,LaunchBefore2010
10,Counter-Strike,2000-11-01,Action,windows;mac;linux,NAO
20,Team Fortress Classic,1999-04-01,Action,windows;mac;linux,NAO
30,Day of Defeat,2003-05-01,Action,windows;mac;linux,NAO
40,Deathmatch Classic,2001-06-01,Action,windows;mac;linux,NAO
50,Half-Life: Opposing Force,1999-11-01,Action,windows;mac;linux,NAO
60,Ricochet,2000-11-01,Action,windows;mac;linux,NAO
70,Half-Life,1998-11-08,Action,windows;mac;linux,NAO
80,Counter-Strike: Condition Zero,2004-03-01,Action,windows;mac;linux,NAO
130,Half-Life: Blue Shift,2001-06-01,Action,windows;mac;linux,NAO
220,Half-Life 2,2004-11-16,Action,windows;mac;linux,NAO
240,Counter-Strike: Source,2004-11-01,Action,windows;mac;linux,NAO
280,Half-Life: Source,2004-06-01,Action,windows;mac;linux,NAO
300,Day of Defeat: Source,2010-07-12,Action,windows;mac;linux,NAO
320,Half-Life 2: Deathmatch,2004-11-01,Action,windows;mac;linux,NAO
340,Half-Life 2: Lost Coast,2005-10-27,Action,windows;mac;linux,NAO
360,Half-Life Deathmatch: Source,2006-05-01,Action,windows;mac;linux,NAO
380,Half-Life 2: Episode One,2006-06-01,Action,windows;mac;linux,NAO
400,Portal,2007-10-10,Action,windows;mac;linux,NAO
420,Half-Life 2: Episode Two,2007-10-10,Action,windows;mac;linux,NAO
440,Team Fortress 2,2007-10-10,Action;Free to Play,windows;mac;linux,NAO
500,Left 4 Dead,2008-11-17,Action,windows;mac,NAO
550,Left 4 Dead 2,2009-11-19,Action,windows;mac;linux,NAO
570,Dota 2,2013-07-09,Action;Free to Play;Strategy,windows;mac;linux,NAO
620,Portal 2,2011-04-18,Action;Adventure,windows;mac;linux,NAO
630,Alien Swarm,2010-07-19,Action,windows,NAO
730,Counter-Strike: Global Offensive,2012-08-21,Action;Free to Play,windows;mac;linux,NAO
1002,Rag Doll Kung Fu,2005-10-12,Indie,windows,NAO
1200,Red Orchestra: Ostfront 41-45,2006-03-14,Action,windows;mac;linux,NAO
1250,Killing Floor,2009-05-14,Action,windows;mac;linux,NAO
1300,SiN Episodes: Emergence,2006-05-10,Action,windows,NAO
1500,Darwinia,2005-07-14,Indie;Strategy,windows;mac;linux,NAO
1510,Uplink,2006-08-23,Indie;Strategy,windows;mac;linux,NAO
1520,DEFCON,2006-09-29,Indie;Strategy,windows;mac;linux,NAO
1530,Multiwinia,2008-09-19,Indie,windows;mac,NAO
1600,Dangerous Waters,2006-02-07,Strategy,windows,NAO
1610,Space Empires IV Deluxe,2006-02-07,Strategy,windows,NAO
1630,Disciples II: Rise of the Elves,2006-07-06,Strategy,windows,NAO
1640,Disciples II: Gallean's Return,2006-07-06,Strategy,windows,NAO
1670,Iron Warriors: T - 72 Tank Command,2006-07-26,Strategy,windows,NAO
1690,Space Empires V,2006-10-16,Strategy,windows,NAO
1700,Arx Fatalis,2007-04-03,RPG,windows,NAO
1840,Source Filmmaker,2012-07-10,Animation & Modeling;Video Production,windows,NAO
1900,Earth 2160,2006-04-01,Strategy,windows;mac;linux,NAO
1930,Two Worlds Epic Edition,2009-04-30,RPG,windows;mac;linux,NAO
2100,Dark Messiah of Might & Magic,2006-10-25,Action;RPG,windows,NAO
2200,Quake III Arena,2007-08-03,Action,windows,NAO
2210,Quake IV,2011-08-04,Action,windows,NAO
2270,Wolfenstein 3D,2007-08-03,Action,windows,NAO
