ID,Name,Release Date,Genres,Platforms
10,Counter-Strike,2000-11-01,Action,windows;mac;linux
20,Team Fortress Classic,1999-04-01,Action,windows;mac;linux
30,Day of Defeat,2003-05-01,Action,windows;mac;linux
40,Deathmatch Classic,2001-06-01,Action,windows;mac;linux
50,Half-Life: Opposing Force,1999-11-01,Action,windows;mac;linux
60,Ricochet,2000-11-01,Action,windows;mac;linux
70,Half-Life,1998-11-08,Action,windows;mac;linux
80,Counter-Strike: Condition Zero,2004-03-01,Action,windows;mac;linux
130,Half-Life: Blue Shift,2001-06-01,Action,windows;mac;linux
220,Half-Life 2,2004-11-16,Action,windows;mac;linux
240,Counter-Strike: Source,2004-11-01,Action,windows;mac;linux
280,Half-Life: Source,2004-06-01,Action,windows;mac;linux
300,Day of Defeat: Source,2010-07-12,Action,windows;mac;linux
320,Half-Life 2: Deathmatch,2004-11-01,Action,windows;mac;linux
340,Half-Life 2: Lost Coast,2005-10-27,Action,windows;mac;linux
360,Half-Life Deathmatch: Source,2006-05-01,Action,windows;mac;linux
380,Half-Life 2: Episode One,2006-06-01,Action,windows;mac;linux
400,Portal,2007-10-10,Action,windows;mac;linux
420,Half-Life 2: Episode Two,2007-10-10,Action,windows;mac;linux
440,Team Fortress 2,2007-10-10,Action;Free to Play,windows;mac;linux
500,Left 4 Dead,2008-11-17,Action,windows;mac
550,Left 4 Dead 2,2009-11-19,Action,windows;mac;linux
570,Dota 2,2013-07-09,Action;Free to Play;Strategy,windows;mac;linux
620,Portal 2,2011-04-18,Action;Adventure,windows;mac;linux
630,Alien Swarm,2010-07-19,Action,windows
730,Counter-Strike: Global Offensive,2012-08-21,Action;Free to Play,windows;mac;linux
1002,Rag Doll Kung Fu,2005-10-12,Indie,windows
1200,Red Orchestra: Ostfront 41-45,2006-03-14,Action,windows;mac;linux
1250,Killing Floor,2009-05-14,Action,windows;mac;linux
1300,SiN Episodes: Emergence,2006-05-10,Action,windows
1500,Darwinia,2005-07-14,Indie;Strategy,windows;mac;linux
1510,Uplink,2006-08-23,Indie;Strategy,windows;mac;linux
1520,DEFCON,2006-09-29,Indie;Strategy,windows;mac;linux
1530,Multiwinia,2008-09-19,Indie,windows;mac
1600,Dangerous Waters,2006-02-07,Strategy,windows
1610,Space Empires IV Deluxe,2006-02-07,Strategy,windows
1630,Disciples II: Rise of the Elves,2006-07-06,Strategy,windows
1640,Disciples II: Gallean's Return,2006-07-06,Strategy,windows
1670,Iron Warriors: T - 72 Tank Command,2006-07-26,Strategy,windows
1690,Space Empires V,2006-10-16,Strategy,windows
1700,Arx Fatalis,2007-04-03,RPG,windows
1840,Source Filmmaker,2012-07-10,Animation & Modeling;Video Production,windows
